videoId,artists,title,tempo,key,mode,minor_score,bittersweet,key_strength,percussive,energy_rms,dynamics,brightness,rolloff,bandwidth,flatness,zcr,contrast,onset_rate,pulse_clarity,mfcc1,mfcc2,mfcc3,mfcc4,status
P_FXXBVAL7o,mr muscle,[FREE BEAT] POST PUNK / MOLHAT DOMA / БУЕРАК / СВИДЕТЕЛЬСТВО О СМЕРТИ,172.3,C#,minor,0.579,0.842,0.57,0.204,0.2416,0.304,1254.6,2758.5,1789.4,0.0043,0.0305,22.337,4.48,0.916,133.31,13.32,39.51,14.5,ok
Iw5YVkzXYLw,mr muscle,[FREE BEAT]  Cigarettes After Sex / KxllSwxtch / The Strokes / Indie Rock,129.2,D,minor,0.827,0.346,0.856,0.255,0.1565,0.361,1714.0,3763.0,2075.0,0.0126,0.07,22.11,2.27,0.896,123.5,-1.45,37.76,-0.62,ok
0r4WvX3mJD8,mr muscle,[FREE BEAT] POST PUNK / MOLHAT DOMA / БУЕРАК / PLOHO,172.3,A#,minor,0.545,0.91,0.518,0.412,0.2157,0.399,1649.0,3755.0,2081.8,0.0086,0.042,21.038,5.63,0.949,118.09,9.37,35.94,16.14,ok
mES0BoMFbRs,ShadyVox,Goodbye Moonmen,73.8,F,minor,0.574,0.852,0.836,0.158,0.1399,0.496,2205.4,4542.0,2271.5,0.0389,0.1076,23.785,2.71,0.783,92.64,-12.14,19.94,0.47,ok
YRCmmJZRyJs,Salvatore Ganacci,f the police.,,,,,,,,,,,,,,,,,,,,,,analyze_failed:ValueError
imYUfpvqD50,yoitsZe.Mp3,Keep It Tucked x SPIT IN MY FACE | Mashup,184.6,C,minor,0.578,0.844,0.526,0.207,0.2056,0.315,2428.0,5230.6,2559.2,0.0158,0.0846,22.726,4.94,0.842,85.37,2.04,28.01,5.17,ok
7WxgfnQQb0E,Hunter2.1 SS,Не тяни меня на дно.  Где Фантом?,99.4,A,major,0.404,0.808,0.592,0.302,0.3702,0.123,1611.0,3343.2,2006.6,0.0068,0.0652,21.562,3.5,0.89,131.89,-9.82,24.54,2.7,ok
weX8DABPewM,mono death,mono death - расстройство (Old 2020 Version),112.3,G,minor,0.742,0.516,0.794,0.276,0.1906,0.329,2416.6,5229.8,2569.4,0.0166,0.0826,22.388,3.9,0.873,75.8,1.57,47.69,5.96,ok
V8JSj8VSZ9U,mono death,Mono Death - Лето,99.4,G,major,0.142,0.284,0.799,0.155,0.201,0.241,2124.5,4784.4,2506.7,0.0142,0.0867,23.217,4.81,0.865,106.21,11.5,16.29,2.04,ok
s9qet5-H8zU,Mono Death,Лето,99.4,G,major,0.144,0.288,0.799,0.155,0.2195,0.24,2129.7,4795.5,2510.0,0.0144,0.0868,23.215,4.79,0.869,106.04,11.37,16.28,2.02,ok
WTKG009YcmI,speed up,"Валерия - часики (speed up, remix)",107.7,C,minor,0.596,0.808,0.4,0.53,0.2115,0.639,1864.0,4075.1,2129.9,0.0304,0.0794,23.524,4.04,0.903,105.6,-2.85,22.56,-0.84,ok
WEa1Uv6ap-g,CMH,CMH x DK - МЕМЫ,129.2,F,minor,0.524,0.952,0.528,0.397,0.2757,0.416,2684.4,5840.9,2803.2,0.0213,0.0668,21.856,4.52,0.763,59.51,20.37,32.82,16.64,ok
FYEPVqzPY_g,Marinarka&Komizelka,DOOMивер [Думивер] | Думерский Универ,172.3,C,minor,0.75,0.5,0.578,0.06,0.0688,1.037,1313.5,2499.6,1560.9,0.0028,0.0506,21.241,1.14,0.912,149.32,-20.14,15.65,-2.66,ok
H_MHthLGmNo,parassite,КУЗЯ ИЗ УНИВЕРА СОШЁЛ С УМА И СТАЛ ИГРАТЬ ПОСТ-ПАНК (prod.by parassite),83.4,C#,major,0.204,0.408,0.657,0.151,0.1757,0.473,1291.0,2811.8,1405.0,0.0017,0.0602,24.64,4.51,0.846,149.2,-27.55,39.36,-3.85,ok
akkLbD2KUbE,i'm cyborg but that's ok,"Bonjr - It's Ok, You're Ok",99.4,G#,major,0.493,0.986,0.702,0.152,0.092,0.346,1451.6,2675.3,1609.1,0.0131,0.0775,23.152,2.06,0.861,151.03,-18.32,-4.62,-9.52,ok
jUo60dmz5jk,ramona,dark beach / pastel ghost (slowed + reverbed),117.5,C,minor,0.572,0.856,0.492,0.187,0.2296,0.24,1948.9,4873.2,2485.9,0.0085,0.0615,21.605,5.95,0.947,106.8,15.52,35.2,7.64,ok
Zao7iHxRJZM,sunsetiqq,Dream space x павапепе гимабоди(mashup),107.7,F#,minor,0.783,0.434,0.774,0.242,0.3268,0.445,2167.1,4567.7,2322.5,0.0162,0.0778,22.16,5.45,0.897,91.26,-13.28,19.69,-5.45,ok
qqEj83PKMgA,Demmino,Blade Runner - Firchtein,117.5,C,minor,0.687,0.626,0.642,0.303,0.2785,0.285,1796.7,4441.9,2321.3,0.0061,0.055,22.025,5.81,0.927,113.64,9.09,38.53,5.85,ok
oLr95YL_w6w,NDRMDCH,Инфоцыгане,117.5,F#,major,0.474,0.948,0.783,0.134,0.3243,0.453,2437.0,5173.9,2541.3,0.0123,0.0753,23.812,4.32,0.754,73.34,5.11,25.22,-0.21,ok
Zr3vu0UMm6c,Шутка Мем,Дора - Гори (Нейросеть),129.2,C,major,0.271,0.542,0.855,0.213,0.3036,0.164,2626.4,5147.0,2507.7,0.0313,0.129,22.662,4.16,0.871,76.88,-15.47,35.44,6.74,ok
1Xbct3CkrCA,PROSTOF1LYA,ГИТЛЕР-ПОЧЕМУ (AI COVER),152.0,F,minor,0.907,0.186,0.907,0.183,0.3212,0.346,2350.5,4741.4,2289.7,0.0102,0.0871,23.51,5.1,0.834,80.8,-28.13,28.91,13.07,ok
mB6SMqrCZis,keegan ross,lost,172.3,F#,minor,0.61,0.78,0.558,0.12,0.1414,0.318,1453.9,2863.5,1557.7,0.012,0.0726,23.091,3.58,0.88,156.04,-37.91,25.49,0.77,ok
RE5_yUu-PuM,AK DA GOON's Unpaid Intern,corbin- Giving Up [Mourn],107.7,A,minor,0.538,0.924,0.586,0.133,0.2533,0.342,1431.9,3082.5,1919.2,0.0038,0.0507,25.359,1.78,0.771,127.2,12.0,34.93,17.7,ok
oyzoGp4eCB4,Hendyamps Studios,"The Darkest Cello Music - ""Beginning to End""",117.5,C,major,0.222,0.444,0.791,0.013,0.1134,0.564,796.0,1447.0,1247.5,0.0002,0.0317,25.753,3.42,0.951,165.03,-4.17,22.05,28.29,ok
9RMHHwJ9Eqk,Fae Child ❀ AKA Bijou Violet,n u a g e s - Dreams ❀,92.3,E,minor,0.561,0.878,0.772,0.099,0.1526,0.336,784.5,1423.0,1391.9,0.0006,0.0237,23.196,2.32,0.736,167.19,13.62,35.82,17.74,ok
t-kWozpEdR4,CMH,CMH - ШАУРМА,103.4,E,minor,0.607,0.786,0.613,0.109,0.2345,0.653,2558.8,5512.0,2711.4,0.0212,0.0949,23.49,4.4,0.702,74.19,13.82,9.07,3.37,ok
dAXIvaNJ-zI,BLISSMOKE,Just The Two Of Us,95.7,A#,minor,0.506,0.988,0.465,0.2,0.0862,0.46,1329.4,2720.8,1852.7,0.0035,0.0474,24.017,4.24,0.746,136.92,19.69,24.34,10.15,ok
6CNlfGZIDCM,Hendyamps Studios,"EPIC Cello Music!  ""Silver Linings""",161.5,G,minor,0.814,0.372,0.871,0.04,0.1623,0.421,1048.7,1954.8,1617.2,0.0007,0.0397,24.282,3.46,0.918,148.51,0.83,30.21,21.7,ok
EOTykAFBWS4,HAUSER,HAUSER & Lana Trotovsek - Passacaglia (Handel - Halvorsen),143.6,G,minor,0.793,0.414,0.778,0.075,0.0914,0.664,1380.4,2698.7,1687.2,0.0017,0.067,25.939,3.81,0.782,131.25,-11.85,17.68,-1.61,ok
ZtCOsQqrBrs,ThxSoMch,SPIT IN MY FACE!,95.7,D#,major,0.181,0.362,0.602,0.273,0.229,0.38,2268.5,4691.8,2398.2,0.0208,0.0884,22.332,4.67,0.848,93.01,-5.16,26.13,10.0,ok
